Crank angle,V,p,T,m
264.1999999999924,0.0005470193951561482,198469.20656944628,366.2006674799754,0.001032674951982818
264.29999999999234,0.0005463599187518426,198803.31652137527,366.3749144743364,0.001032674951982818
264.39999999999236,0.0005456999383929933,199138.64497849264,366.5495794127883,0.001032674951982818
264.4999999999924,0.0005450394558668772,199475.19717801455,366.7246632784667,0.001032674951982818
264.59999999999235,0.0005443784729661819,199812.97838452892,366.9001670574252,0.001032674951982818
264.6999999999923,0.0005437169914890001,200151.99389012635,367.0760917385833,0.001032674951982818
264.79999999999234,0.0005430550132388293,200492.2490145754,367.2524383137564,0.001032674951982818
264.89999999999236,0.0005423925400245726,200833.74910548658,367.42920777766483,0.001032674951982818
264.9999999999923,0.0005417295736605343,201176.4995384881,367.6064011279586,0.001032674951982818
265.0999999999923,0.0005410661159664168,201520.50571738262,367.78401936520584,0.001032674951982818
265.1999999999923,0.0005404021687673208,201865.77307432657,367.9620634929235,0.001032674951982818
265.29999999999234,0.0005397377338937424,202212.30706998112,368.1405345175516,0.001032674951982818
265.3999999999923,0.0005390728131815696,202560.11319369936,368.3194334484921,0.001032674951982818
265.49999999999227,0.0005384074084720815,202909.19696370623,368.49876129813237,0.001032674951982818
265.5999999999923,0.0005377415216119453,203259.56392726008,368.6785190818344,0.001032674951982818
265.6999999999923,0.0005370751544532134,203611.21966079995,368.858707817894,0.001032674951982818
265.7999999999923,0.0005364083088533211,203964.16977018875,369.0393285276733,0.001032674951982818
265.89999999999225,0.000535740986675083,204318.4198908311,369.2203822355029,0.001032674951982818
265.99999999999227,0.0005350731897866918,204673.97568786674,369.40186996872035,0.001032674951982818
266.0999999999923,0.0005344049200617144,205030.84285635845,369.58379275769516,0.001032674951982818
266.19999999999226,0.0005337361793790896,205389.0271214802,369.766151635853,0.001032674951982818
266.2999999999922,0.000533066969623124,205748.53423867622,369.94894763964317,0.001032674951982818
266.39999999999225,0.0005323972926834885,206109.3699938595,370.1321818085773,0.001032674951982818
266.49999999999227,0.0005317271504552176,206471.54020359146,370.31585518523246,0.001032674951982818
266.59999999999224,0.0005310565448387052,206835.05071525957,370.49996881524646,0.001032674951982818
266.6999999999922,0.0005303854777396978,207199.90740727846,370.68452374735125,0.001032674951982818
266.7999999999922,0.0005297139510692962,207566.1161892793,370.8695210333896,0.001032674951982818
266.89999999999225,0.000529041966743948,207933.68300228933,371.0549617283043,0.001032674951982818
266.9999999999922,0.0005283695266854473,208302.613818912,371.24084689013284,0.001032674951982818
267.0999999999922,0.0005276966328209274,208672.9146435546,371.42717758007825,0.001032674951982818
267.1999999999922,0.0005270232870828592,209044.59151257863,371.6139548624451,0.001032674951982818
267.2999999999922,0.000526349491409048,209417.65049452294,371.80117980470146,0.001032674951982818
267.3999999999922,0.0005256752477426274,209792.09769028888,371.9888534774681,0.001032674951982818
267.49999999999216,0.000525000558032057,210167.93923334457,372.17697695454365,0.001032674951982818
267.5999999999922,0.0005243254242311161,210545.18128992096,372.3655513129083,0.001032674951982818
267.6999999999922,0.0005236498482989033,210923.83005920105,372.55457763271846,0.001032674951982818
267.79999999999217,0.0005229738321998281,211303.8917735275,372.74405699732625,0.001032674951982818
267.89999999999213,0.0005222973779036087,211685.37269862168,372.93399049332,0.001032674951982818
267.99999999999216,0.0005216204873852673,212068.27913375775,373.12437921048206,0.001032674951982818
268.0999999999922,0.0005209431626251246,212452.6174120034,373.31522424186096,0.001032674951982818
268.19999999999214,0.0005202654056087983,212838.3939003856,373.50652668371265,0.001032674951982818
268.2999999999921,0.0005195872183271924,213225.6150001419,373.698287635582,0.001032674951982818
268.39999999999213,0.0005189086027764993,213614.28714689135,373.890508200251,0.001032674951982818
268.49999999999216,0.0005182295609581888,214004.41681087523,374.08318948379707,0.001032674951982818
268.5999999999921,0.000517550094879009,214396.0104971492,374.2763325955721,0.001032674951982818
268.6999999999921,0.0005168702065509751,214789.07474581376,374.4699386482383,0.001032674951982818
268.7999999999921,0.000516189897991369,215183.61613220978,374.6640087577473,0.001032674951982818
268.89999999999213,0.0005155091712227325,215579.64126715838,374.85854404339034,0.001032674951982818
268.9999999999921,0.0005148280282728616,215977.15679716217,375.05354562777876,0.001032674951982818
269.09999999999206,0.0005141464711748017,216376.16940463844,375.24901463687854,0.001032674951982818
269.1999999999921,0.0005134645019668406,216776.68580812804,375.4449521999986,0.001032674951982818
